source,target,interaction,effect_size,pvalue,qvalue
RNDR2,Nucleotides,in_pathway,-1.9649962265347438,0.0005417191767574808,0.01004201817213121
TRDR,Nucleotides,in_pathway,-1.9649962265347438,0.0005417191767574808,0.01004201817213121
GK1,Nucleotides,in_pathway,-1.9649962265347438,0.0005417191767574808,0.01004201817213121
THRCYSNaEx,"Transport, Extracellular",in_pathway,-1.9448278458452442,0.0005864707513929494,0.010397689516345779
DADNt4,"Transport, Extracellular",in_pathway,1.9442509110805763,0.0005878068446178256,0.010397689516345779
GLCt4,"Transport, Extracellular",in_pathway,1.935157658746589,0.0006092944026375838,0.010397689516345779
HMGCOAS,Cholesterol Metabolism,in_pathway,1.926136516009311,0.0006314306536466419,0.010397689516345779
MANt4,"Transport, Extracellular",in_pathway,1.9261365160091375,0.0006314306536470747,0.010397689516345779
ASCBt4,"Transport, Extracellular",in_pathway,1.9261365160091326,0.0006314306536470869,0.010397689516345779
MAGt,"Transport, Extracellular",in_pathway,-1.926136516009131,0.0006314306536470898,0.010397689516345779
DAGt,"Transport, Extracellular",in_pathway,1.926136516009131,0.0006314306536470898,0.010397689516345779
RTOTALt,"Transport, Extracellular",in_pathway,-1.926136516009131,0.0006314306536470898,0.010397689516345779
LPS2e,Fatty Acid Metabolism,in_pathway,-1.926136516009131,0.0006314306536470898,0.010397689516345779
DM_hretn_n,Intracellular demand,in_pathway,-1.926136516009094,0.0006314306536471835,0.010397689516345779
RAHY,Vitamin A Metabolism,in_pathway,-1.926136516009094,0.0006314306536471835,0.010397689516345779
HRETNtn,"Transport, Nuclear",in_pathway,-1.926136516009094,0.0006314306536471835,0.010397689516345779
CRNtim,"Transport, Mitochondrial",in_pathway,-1.9261365160090778,0.0006314306536472252,0.010397689516345779
ACRNtm,"Transport, Mitochondrial",in_pathway,-1.926136516008929,0.000631430653647596,0.010397689516345779
CSNATm,Fatty Acid Metabolism,in_pathway,-1.926136516008929,0.000631430653647596,0.010397689516345779
ARACHCPT2,Carnitine shuttle,in_pathway,-1.9261365160088082,0.0006314306536478986,0.010397689516345779
ARACHCPT1,Carnitine shuttle,in_pathway,-1.9261365160088082,0.0006314306536478986,0.010397689516345779
FAOXC80,Fatty acid oxidation,in_pathway,-1.9261365160088082,0.0006314306536478986,0.010397689516345779
FAOXC200180m,Fatty acid oxidation,in_pathway,-1.9261365160088082,0.0006314306536478986,0.010397689516345779
FAOXC180,Fatty acid oxidation,in_pathway,-1.9261365160088082,0.0006314306536478986,0.010397689516345779
FAOXC16080m,Fatty acid oxidation,in_pathway,-1.9261365160088082,0.0006314306536478986,0.010397689516345779
ARACHCRNt,Carnitine shuttle,in_pathway,-1.9261365160088082,0.0006314306536478986,0.010397689516345779
NKCCt,"Transport, Extracellular",in_pathway,-1.9255877309310072,0.0006328043155937539,0.010397689516345779
CYSt4,"Transport, Extracellular",in_pathway,-1.9253258428610358,0.0006334609555046945,0.010397689516345779
5HLTDL,Tryptophan metabolism,in_pathway,1.9217509876767582,0.00024555350130170736,0.005198479237785009
EX_srtn_e,Extracellular exchange,in_pathway,1.9217509876767582,0.00024555350130170736,0.005198479237785009
TRPHYDRO2,Tryptophan metabolism,in_pathway,1.9217509876767582,0.00024555350130170736,0.005198479237785009
EX_dad_2_e,Extracellular exchange,in_pathway,-1.921119155957256,0.0006441074041161626,0.01052607099884571
CK,Urea cycle/amino group metabolism,in_pathway,-1.8863725400146523,0.000657919370529736,0.010566411959456018
CREATtmdiffir,Urea cycle/amino group metabolism,in_pathway,-1.8863725400146523,0.000657919370529736,0.010566411959456018
CKc,Urea cycle/amino group metabolism,in_pathway,1.8863725400146523,0.000657919370529736,0.010566411959456018
PCREATtmdiffir,Urea cycle/amino group metabolism,in_pathway,-1.8863725400146523,0.000657919370529736,0.010566411959456018
CYSALANaEx,"Transport, Extracellular",in_pathway,-1.8818232841659803,0.0006219318116163569,0.010397689516345779
TYR3MO2,Tyrosine metabolism,in_pathway,-1.866027391871378,0.000802307380314415,0.012507938489755272
CYTK12,Nucleotides,in_pathway,1.8220296440243708,0.0009578315529199914,0.014332852876253046
ARTFR202,R Group Synthesis,in_pathway,-1.8220296440242905,0.0009578315529203057,0.014332852876253046
GLNASNNaEx,"Transport, Extracellular",in_pathway,-1.8220296440240646,0.0009578315529211788,0.014332852876253046
RETFAt,"Transport, Extracellular",in_pathway,-1.8220296440240586,0.0009578315529212034,0.014332852876253046
RETFA,Vitamin A Metabolism,in_pathway,-1.8220296440240586,0.0009578315529212034,0.014332852876253046
RETHe,Vitamin A Metabolism,in_pathway,-1.8220296440240586,0.0009578315529212034,0.014332852876253046
ARTCOAL2,R Group Synthesis,in_pathway,-1.8220296440240586,0.0009578315529212034,0.014332852876253046
RTOTAL2t,"Transport, Extracellular",in_pathway,-1.8220296440240586,0.0009578315529212034,0.014332852876253046
CYSGLNNaEx,"Transport, Extracellular",in_pathway,-1.8220296440240378,0.0009578315529212851,0.014332852876253046
LEUt4,"Transport, Extracellular",in_pathway,-1.822029644023878,0.0009578315529219024,0.014332852876253046
EX_acac_e,Extracellular exchange,in_pathway,-1.817242321651231,0.0002528609020094145,0.005293032139815048
ACACt2,"Transport, Extracellular",in_pathway,1.817242321651231,0.0002528609020094145,0.005293032139815048
ADPT,Salvage Pathway,in_pathway,-1.807098170611399,0.0010175524636287492,0.015165601917922877
SERGLNNaEx,"Transport, Extracellular",in_pathway,-1.7980405096559249,0.0010556714300060399,0.015547161060088951
THRASNNaEx,"Transport, Extracellular",in_pathway,-1.782366887907216,0.001125210264567219,0.016506037188100228
PROD2m,Arginine and Proline Metabolism,in_pathway,-1.780195071658977,0.0003401692925551761,0.0064998501746696725
SERt4,"Transport, Extracellular",in_pathway,-1.7102499962991762,0.0007415074278957314,0.011657623106917701
EX_ade_e,Extracellular exchange,in_pathway,1.6796568762114816,0.001328998320424478,0.019193208301944206
ADEt,"Transport, Extracellular",in_pathway,-1.6796568762114816,0.001328998320424478,0.019193208301944206
DHCRD2,Sphingolipid Metabolism,in_pathway,-1.6694139047613747,0.0007821280472476074,0.012244576067414222
ACACT1r_copy2,Tryptophan metabolism,in_pathway,-1.6513108843628777,0.001341292616994483,0.019253915822446156
ETHAK,Glycerophospholipid Metabolism,in_pathway,-1.6508468110185748,0.001936122281490812,0.026917879182219273
CEPTE,Glycerophospholipid Metabolism,in_pathway,-1.6508468110185748,0.001936122281490812,0.026917879182219273
PETHCT,Glycerophospholipid Metabolism,in_pathway,-1.6508468110185748,0.001936122281490812,0.026917879182219273
PSSA2_hs,Glycerophospholipid Metabolism,in_pathway,-1.6508468110185748,0.001936122281490812,0.026917879182219273
PUNP2,Purine Catabolism,in_pathway,1.6439904455648313,0.0017609475249833442,0.025043093427816566
