reaction_id,flux_scd_baseline,flux_hfd_no_microbiome,flux_hfd_with_microbiome,delta_diet,delta_microbiome,delta_total,abs_diet_contribution,abs_microbiome_contribution,variance_explained_diet,variance_explained_microbiome,effect_type,interaction,opposing_effects,cohens_d_diet,cohens_d_microbiome,diet_effect_size,microbiome_effect_size,dominant_driver,pct_diet_contribution_legacy,pct_microbiome_contribution_legacy
G6PDH2r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G6PDH1er_copy2,0.0,-0.1144376961404391,-0.1144376961404391,-0.1144376961404391,0.0,-0.1144376961404391,0.1144376961404391,0.0,100.0,0.0,Synergistic,Diet-dominated synergy,False,0.0,0.0,Small,Small,Diet,100.0,0.0
G6PDH1er_copy1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G6PDA,1.680736331922034,1.286846884082811,1.286846884082811,-0.3938894478392232,0.0,-0.3938894478392232,0.3938894478392232,0.0,100.0,0.0,Synergistic,Diet-dominated synergy,False,-0.2343552884281286,0.0,Medium,Small,Diet,100.0,0.0
G5SDym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G5SADs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G5SADrm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G3PD2m,15.7611283783129,11.43984536001132,11.43984536001132,-4.32128301830158,0.0,-4.32128301830158,4.32128301830158,0.0,100.0,0.0,Synergistic,Diet-dominated synergy,False,-0.2741734547538872,0.0,Medium,Small,Diet,100.0,0.0
GLCAE2g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
GLCAE1g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
