ReactionID,ReactionName,Subsystem,KD_mean,SCD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,KD_n,SCD_n,q_value,Significant,Direction,Rank,Rank_normalized,RankProduct,RP_pvalue
CDIPTr,Phosphatidylinositol synthase (Homo sapiens),Glycerophospholipid Metabolism,0.0006153284163303583,0.0007235050934524621,-0.0001081766771221038,-0.23364651944095904,-4.784193898429615,0.00015422783835388536,-1.6428243525690558,12,37,0.006246227453417287,True,Down,85.0,0.022812667740203973,0.022812667740203973,0.00015422783835388536
MI1PP,Myo-inositol 1-phosphatase,Inositol Phosphate Metabolism,0.0006153284163303583,0.0007235050934524621,-0.0001081766771221038,-0.23364651944095904,-4.784193898429615,0.00015422783835388536,-1.6428243525690558,12,37,0.006246227453417287,True,Down,85.0,0.022812667740203973,0.022812667740203973,0.00015422783835388536
EX_met__L_e,L-Methionine exchange,Extracellular exchange,-0.008491532145360092,-0.009984370289645227,0.0014928381442851357,-0.23364655703699147,4.784193898431424,0.00015422783835304852,1.6428243525690553,12,37,0.006246227453417287,True,Up,52.0,0.013955984970477724,0.013955984970477724,0.00015422783835304852
PMEVKx,Phosphomevalonate kinase,Cholesterol Metabolism,0.00664554689636875,0.007813855009287522,-0.0011683081129187723,-0.23364655125080747,-4.784193898431373,0.00015422783835306508,-1.6428243525690376,12,37,0.006246227453417287,True,Down,55.0,0.014761137949543746,0.014761137949543746,0.00015422783835306508
PItx,"Phosphate transporter, peroxisome","Transport, Peroxisomal",-0.00664554689636875,-0.007813855009287522,0.0011683081129187723,-0.23364655774261822,4.784193898431373,0.00015422783835306508,1.6428243525690376,12,37,0.006246227453417287,True,Up,55.0,0.014761137949543746,0.014761137949543746,0.00015422783835306508
DPMVDx,Diphosphomevalonate decarboxylase,Cholesterol Metabolism,0.00664554689636875,0.007813855009287522,-0.0011683081129187723,-0.23364655125080747,-4.784193898431373,0.00015422783835306508,-1.6428243525690376,12,37,0.006246227453417287,True,Down,55.0,0.014761137949543746,0.014761137949543746,0.00015422783835306508
CO2tp,CO2 peroxisomal transport,"Transport, Peroxisomal",-0.00664554689636875,-0.007813855009287522,0.0011683081129187723,-0.23364655774261822,4.784193898431373,0.00015422783835306508,1.6428243525690376,12,37,0.006246227453417287,True,Up,55.0,0.014761137949543746,0.014761137949543746,0.00015422783835306508
MEVK1x,Mevalonate kinase (atp),Cholesterol Metabolism,0.00664554689636875,0.007813855009287518,-0.0011683081129187688,-0.23364655125080688,-4.784193898431357,0.0001542278383530697,-1.6428243525690298,12,37,0.006246227453417287,True,Down,60.0,0.01610305958132045,0.01610305958132045,0.0001542278383530697
CDS,Phosphatidate cytidylyltransferase,Glycerophospholipid Metabolism,0.0010460583077616917,0.0012299586588692543,-0.0001839003511075626,-0.23364653387565446,-4.784193898430666,0.00015422783835332285,-1.6428243525688528,12,37,0.006246227453417287,True,Down,68.0,0.01825013419216318,0.01825013419216318,0.00015422783835332285
PSDm_hs,Phosphatidylserine decarboxylase,Glycerophospholipid Metabolism,0.0015998538824591,0.001881113242976535,-0.000281259360517435,-0.23364654101369167,-4.784193898430534,0.0001542278383533363,-1.6428243525687247,12,37,0.006246227453417287,True,Down,69.0,0.018518518518518517,0.018518518518518517,0.0001542278383533363
PSFLIPm,Phosphatidylserine flippase,"Transport, Mitochondrial",0.0015998538824591,0.001881113242976535,-0.000281259360517435,-0.23364654101369167,-4.784193898430534,0.0001542278383533363,-1.6428243525687247,12,37,0.006246227453417287,True,Down,69.0,0.018518518518518517,0.018518518518518517,0.0001542278383533363
PE_HStm,Phosphatidylethanolamine scramblase,"Transport, Mitochondrial",-0.0015998538824591,-0.001881113242976535,0.000281259360517435,-0.2336465679796748,4.784193898430534,0.0001542278383533363,1.6428243525687247,12,37,0.006246227453417287,True,Up,69.0,0.018518518518518517,0.018518518518518517,0.0001542278383533363
3DSPHR,3 Dehydrosphinganine reductase,Sphingolipid Metabolism,0.0004922627330643,0.0005788040747619405,-8.654134169764054e-05,-0.23364651067690567,-4.784193898429104,0.00015422783835395112,-1.6428243525685993,12,37,0.006246227453417287,True,Down,88.0,0.023617820719269995,0.023617820719269995,0.00015422783835395112
SMS,Sphingomyelin synthase (homo sapiens),Sphingolipid Metabolism,0.0004922627330643,0.0005788040747619405,-8.654134169764054e-05,-0.23364651067690567,-4.784193898429104,0.00015422783835395112,-1.6428243525685993,12,37,0.006246227453417287,True,Down,88.0,0.023617820719269995,0.023617820719269995,0.00015422783835395112
