ReactionID,ReactionName,Subsystem,KD_mean,WD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,KD_n,WD_n,q_value,Significant,Direction
DM_dgtp_m,"Demand for dGTP, Mitochondrial",Intracellular demand,0.00011753073308858334,0.00036434527257470003,-0.0002468145394861167,-1.6322673839650355,-5.886425061106761,0.00010516856049077271,-2.403122968140476,12,12,0.002346455427504537,True,Down
NDPK5m,"Nucleoside-diphosphate kinase (ATP:dGDP), mitochondrial",Nucleotides,0.00011753073308858334,0.00036434527257470003,-0.0002468145394861167,-1.6322673839650355,-5.886425061106761,0.00010516856049077271,-2.403122968140476,12,12,0.002346455427504537,True,Down
ASPNATm,"Aspartate N-acetyltransferase, mitochondrial",Alanine and Aspartate Metabolism,0.00021018048266250003,0.0006515594962538,-0.00044137901359129995,-1.6322677505139007,-5.886425061105243,0.00010516856049100446,-2.403122968139855,12,12,0.002346455427504537,True,Down
NACASPAH,N-Acetyl-L-aspartate amidohydrolase,Alanine and Aspartate Metabolism,0.00021018048266250003,0.0006515594962538,-0.00044137901359129995,-1.6322677505139007,-5.886425061105243,0.00010516856049100446,-2.403122968139855,12,12,0.002346455427504537,True,Down
NACASPtm,N-acetyl-L-aspartate transport (mitochondria to cytosol),"Transport, Mitochondrial",0.00021018048266250003,0.0006515594962538,-0.00044137901359129995,-1.6322677505139007,-5.886425061105243,0.00010516856049100446,-2.403122968139855,12,12,0.002346455427504537,True,Down
CYSSERNaEx,L-serine/L-cysteine Na-dependent exchange (Cys-L in),"Transport, Extracellular",0.00020096943216466666,0.0006230052397105,-0.00042203580754583334,-1.6322677292021408,-5.88642506110504,0.00010516856049103532,-2.403122968139773,12,12,0.002346455427504537,True,Down
SERtp,"L-serine transport, peroxisomal","Transport, Peroxisomal",5.5485621275416666e-05,0.00017200542595380001,-0.00011651980467838335,-1.6322664541272551,-5.8864250611049975,0.00010516856049104174,-2.4031229681397552,12,12,0.002346455427504537,True,Down
HPYRtp,"Hydroxypyruate transport, peroxisomal","Transport, Peroxisomal",-5.5485621275416666e-05,-0.00017200542595380001,0.00011651980467838335,-1.6322699768761093,5.8864250611049975,0.00010516856049104174,2.4031229681397552,12,12,0.002346455427504537,True,Up
SPTix,"Serine-pyruvate aminotransferase (irreversible), peroxisomal","Glycine, Serine, and Threonine Metabolism",5.5485621275416666e-05,0.00017200542595380001,-0.00011651980467838335,-1.6322664541272551,-5.8864250611049975,0.00010516856049104174,-2.4031229681397552,12,12,0.002346455427504537,True,Down
AGTix,"Alanine---glyoxylate aminotransferase, glyoxysome",Alanine and Aspartate Metabolism,5.5485621275416666e-05,0.00017200542595380001,-0.00011651980467838335,-1.6322664541272551,-5.8864250611049975,0.00010516856049104174,-2.4031229681397552,12,12,0.002346455427504537,True,Down
