ReactionID,ReactionName,Subsystem,HFD_mean,SCD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,HFD_n,SCD_n,q_value,Significant,Direction,Rank,Rank_normalized,RankProduct,RP_pvalue
3MOPt2im,3-Methyl-2-oxopentanoate mitochondrial transport via proton symport,"Transport, Mitochondrial",0.047959870149656254,-0.08595106995595168,0.13391094010560795,,2.3807949408849027,0.021122753337870614,0.54470853704526,38,37,0.42736988498989764,False,Up,181.0,0.048577563070316694,0.048577563070316694,0.021122753337870614
GLYATm,Glycine C-acetyltransferase,"Glycine, Serine, and Threonine Metabolism",-0.6776527183516239,-0.8467198410837196,0.16906712273209568,-0.3213385817403493,2.3494768993900554,0.02167818257195133,0.5442673759199497,38,37,0.42736988498989764,False,Up,188.0,0.05045625335480408,0.05045625335480408,0.02167818257195133
GLYtm,Glycine passive transport to mitochondria,"Transport, Mitochondrial",-0.6776527183516239,-0.8467198410837196,0.16906712273209568,-0.3213385817403493,2.3494768993900554,0.02167818257195133,0.5442673759199497,38,37,0.42736988498989764,False,Up,188.0,0.05045625335480408,0.05045625335480408,0.02167818257195133
ABUTt2r,4 aminobutyrate reversible transport in via proton symport,"Transport, Extracellular",0.0659515530528109,-0.05526972018359552,0.12122127323640643,,2.3561495907766683,0.02126323453830877,0.5425095690474586,38,37,0.42736988498989764,False,Up,185.0,0.049651100375738055,0.049651100375738055,0.02126323453830877
EX_retinol_e,Retinol exchange,Extracellular exchange,-0.013059974696802748,-0.0011494345711146109,-0.011910540125688138,3.5061559647363687,-2.3570041370794246,0.02205272261993661,-0.5399251805355111,38,37,0.4324654972730727,False,Down,190.0,0.05099302200751476,0.05099302200751476,0.02205272261993661
EX_arg__L_e,L-Arginine exchange,Extracellular exchange,-0.025716740216001798,-0.03900337219820371,0.013286631982201914,-0.600891083299688,2.3075937202480485,0.026384109477122435,0.539574856512333,38,37,0.5120166245404073,False,Up,192.0,0.05152979066022544,0.05152979066022544,0.026384109477122435
H2Otp,H2O transport  peroxisomal,"Transport, Peroxisomal",-0.4408048180603959,-0.09842348039409533,-0.3423813376663006,2.163065555770193,-2.3238178628041495,0.022927583704794984,-0.5362036252440558,38,37,0.44726794180139323,False,Down,191.0,0.0512614063338701,0.0512614063338701,0.022927583704794984
CATp,Catalase A  peroxisomal,Miscellaneous,0.5733516846537969,0.4132623404093515,0.16008934424444543,0.47236243579217746,2.251692670256587,0.027368497461241606,0.5203978072358569,38,37,0.5283679872569235,False,Up,193.0,0.051798174986580785,0.051798174986580785,0.027368497461241606
THYOXt2,T4 transport via facilitated diffusion,"Transport, Extracellular",0.00025355823047274026,-7.223085057296131e-05,0.00032578908104570156,,2.209950434362021,0.030966417387028322,0.5135372304532656,38,37,0.5827316726468057,False,Up,196.0,0.052603327965646804,0.052603327965646804,0.030966417387028322
EX_thyox__L_e,L-Thyroxine exchange,Extracellular exchange,-0.00025355823047274026,7.223085057296131e-05,-0.00032578908104570156,,-2.209950434362021,0.030966417387028322,-0.5135372304532656,38,37,0.5827316726468057,False,Down,196.0,0.052603327965646804,0.052603327965646804,0.030966417387028322
IDHPOXOX4,Iodide:hydrogen-peroxide oxidoreductase 4,Tyrosine metabolism,-0.00025355823047274026,7.223085057296131e-05,-0.00032578908104570156,,-2.209950434362021,0.030966417387028322,-0.5135372304532656,38,37,0.5827316726468057,False,Down,196.0,0.052603327965646804,0.052603327965646804,0.030966417387028322
ASP1DC,Aspartate 1-decarboxylase,beta-Alanine metabolism,0.012471658444299172,-0.0024027603086216862,0.014874418752920858,,2.23374324078625,0.029169891348371144,0.5126739038253643,38,37,0.5602423462063447,False,Up,194.0,0.05206655931293613,0.05206655931293613,0.029169891348371144
EX_lys__L_e,L-Lysine exchange,Extracellular exchange,-0.6591558836765801,-0.7284377133551165,0.06928182967853647,-0.14418592850148862,2.2157718565419824,0.02989569525350343,0.5105410069873152,38,37,0.5712377462284809,False,Up,195.0,0.05233494363929147,0.05233494363929147,0.02989569525350343
