ReactionID,ReactionName,Subsystem,GroupA,GroupB,MeanA,MeanB,Diff(A-B),TestStat,PValue,FDR_BH
CLPNDCPT2,Carnitine transferase,Carnitine shuttle,HFD,SCD,0.0,0.0,0.0,,,
CLPNDCRNt,Transport into the mitochondria (carnitine),Carnitine shuttle,HFD,SCD,0.0,0.0,0.0,,,
CLPNDt,Fatty acid transport via diffusion,"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CLS_hs,Cardiolipin synthase (homo sapiens),Glycerophospholipid Metabolism,HFD,SCD,0.00013006858606742178,0.0001411493109154743,-1.108072484805252e-05,,,
CMPACNAtg,CMP-Sia Golgi transport via CMP antiport,"Transport, Golgi Apparatus",HFD,SCD,0.0,0.0,0.0,,,
CMPACNAtn,CMP-Sia nuclear export,"Transport, Nuclear",HFD,SCD,0.0,0.0,0.0,,,
ACNMCT,CTP:N-acylneuraminate cytidylyltransferase,Aminosugar Metabolism,HFD,SCD,0.0,0.0,0.0,,,
CMPSASn,"CMP sialic acid synthase, nuclear",Aminosugar Metabolism,HFD,SCD,0.0,0.0,0.0,,,
CO2t,CO2 transporter via diffusion,"Transport, Extracellular",HFD,SCD,-2.4819590792427997,-4.683639380784478,2.2016803015416784,,,
CO2ter,CO2 endoplasmic reticular transport via diffusion,"Transport, Endoplasmic Reticular",HFD,SCD,-0.0015608230328090613,-0.0016937917309856913,0.00013296869817663003,,,
CO2tg,CO2 Golgi transport,"Transport, Golgi Apparatus",HFD,SCD,0.0,0.0,0.0,,,
CO2tm,CO2 transport  diffusion   mitochondrial,"Transport, Mitochondrial",HFD,SCD,-1.2523288886419235,-0.920663423952938,-0.3316654646889855,,,
CO2tn,CO2 nuclear transport via diffusion,"Transport, Nuclear",HFD,SCD,0.0,0.0,0.0,,,
CYOR_u10m,"Ubiquinol-6 cytochrome c reductase, Complex III",Oxidative Phosphorylation,HFD,SCD,0.2,0.2,0.0,,,
CYSALANaEx,L-alanine/L-cysteine Na-dependent exchange (Cys-L in),"Transport, Extracellular",HFD,SCD,0.1,0.1,0.0,,,
CYSAMO,Cysteamine oxygenase,Taurine and hypotaurine metabolism,HFD,SCD,0.0,0.0,0.0,,,
CYSASNNaEx,L-cysteine/L-asparagine Na-dependent exchange (Cys-L in),"Transport, Extracellular",HFD,SCD,0.08750908011799194,0.0,0.08750908011799194,,,
CYSGLNNaEx,L-cysteine/L-glutamine Na-dependent exchange (Cys-L in),"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CYSGLTH,Glutathione:cystine oxidoreductase,Cysteine Metabolism,HFD,SCD,0.0,0.0,0.0,,,
CYSGLUexR,L-cysteine/L-glutamine reversible exchanger,"Transport, Extracellular",HFD,SCD,0.0,0.3042129490643457,-0.3042129490643457,,,
CYSGLYex_copy1,L-cysteine/glycine exchanger,"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
